# severity	kind	type	member	arity	requires
# "bare" models Type.GetMethod(name, flags): adding an overload is a breaking ambiguity.
# Optional rules correspond to explicit null/skip/log fallback paths; they are reported but do not fail.
required	method	MegaCrit.Sts2.Core.Nodes.NGame	GameStartupWrapper	bare	-
required	method	MegaCrit.Sts2.Core.Nodes.NGame	GameStartup	bare	-
required	method	MegaCrit.Sts2.Core.Nodes.NGame	InitializePlatform	bare	-
required	method	MegaCrit.Sts2.Core.Saves.CloudSaveStore	SyncCloudToLocal	bare	-
required	method	MegaCrit.Sts2.Core.Saves.SaveManager	ConstructDefault	bare	-
required	method	MegaCrit.Sts2.Core.Saves.SaveManager	InitSettingsData	bare	-
required	method	MegaCrit.Sts2.Core.Modding.ModManager	Initialize	bare	-
required	method	MegaCrit.Sts2.Core.Modding.ModManager	TryLoadMod	bare	-
required	method	MegaCrit.Sts2.Core.Modding.ModManager	ReadSteamMods	bare	-
required	method	MegaCrit.Sts2.Core.Modding.ModManager	ReadModManifest	bare	-
required	method	MegaCrit.Sts2.Core.Platform.Null.NullPlatformUtilStrategy	GetRawLanguage	bare	-
required	method	MegaCrit.Sts2.Core.Saves.GodotFileIo	CreateDirectory	bare	-
required	method	MegaCrit.Sts2.Core.Debug.OsDebugInfo	LogSystemInfo	bare	-
required	property	MegaCrit.Sts2.Core.Saves.PrefsSave	UploadData	-	-
required	method	MegaCrit.Sts2.Core.Debug.SentryService	Initialize	bare	-
required	method	MegaCrit.Sts2.Core.Debug.ReleaseInfoManager	LoadConfig	bare	-
required	method	MegaCrit.Sts2.Core.Models.ModelDb	Init	bare	-
required	property	MegaCrit.Sts2.Core.Models.ModelDb	AllAbstractModelSubtypes	-	-
required	method	MegaCrit.Sts2.Core.Models.ModelDb	GetId	1	-
required	field	MegaCrit.Sts2.Core.Models.ModelDb	_contentById	-	-
optional	method	MegaCrit.Sts2.Core.Nodes.NGame	Quit	bare	-
optional	method	MegaCrit.Sts2.Core.Nodes.NGame	OnWindowChange	bare	-
optional	method	MegaCrit.Sts2.Core.Saves.CloudSaveStore	WriteFile	2	-
optional	method	MegaCrit.Sts2.Core.Saves.Managers.ProgressSaveManager	LoadProgress	bare	-
optional	il-call	MegaCrit.Sts2.Core.Saves.Managers.ProgressSaveManager	LoadProgress	0	MegaCrit.Sts2.Core.Saves.Migrations.MigrationManager::LoadSave
